Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2022-02-08,161.85000610351562,162.5,158.35000610351562,159.9499969482422,131.8653564453125,14158927,0.0,0,14.217025793568022
2022-02-09,160.5,169.35000610351562,160.0,168.60000610351562,138.99656677246094,35079516,0.0,0,14.631941644966128
2022-02-10,169.0,170.3000030517578,165.0,168.0500030517578,138.5431365966797,17724098,0.0,0,15.215775630374356
2022-02-11,167.9499969482422,169.3000030517578,165.1999969482422,166.5,137.26528930664062,10097767,0.0,0,15.757907188253425
2022-02-14,166.10000610351562,166.25,161.14999389648438,161.64999389648438,133.26686096191406,9478670,0.0,0,14.974909011859523
2022-02-15,162.75,164.85000610351562,159.85000610351562,163.64999389648438,134.9156951904297,16850616,0.0,0,13.92386352224257
2022-02-16,165.25,166.0,162.8000030517578,163.85000610351562,135.08059692382812,10653203,0.0,0,13.22541705751513
2022-02-17,164.6999969482422,165.5,162.6999969482422,163.0500030517578,134.4210662841797,6906440,0.0,0,12.546370200965866
2022-02-18,163.0,168.25,162.60000610351562,167.3000030517578,137.92483520507812,23740696,0.0,0,12.660198900033933
2022-02-21,163.14999389648438,163.5,159.85000610351562,161.1999969482422,136.99002075195312,14870901,5.0,0,11.91478315775133
2022-02-22,159.5,160.64999389648438,155.5,159.89999389648438,135.88525390625,11654816,0.0,0,12.007299323579373
2022-02-23,160.35000610351562,162.3000030517578,158.1999969482422,158.5,134.69552612304688,7627472,0.0,0,11.623441926085235
2022-02-24,154.0,156.8000030517578,149.0,150.0,127.47210693359376,12115340,0.0,0,12.991719969918766
2022-02-25,152.25,164.89999389648438,152.25,163.4499969482422,138.90211486816406,17079977,0.0,0,12.422744227632771
2022-02-28,162.4499969482422,169.9499969482422,160.5500030517578,169.5500030517578,144.08596801757812,20872239,0.0,0,12.052442748646417
2022-03-02,171.0,185.6499938964844,171.0,184.8000030517578,157.04563903808594,72648396,0.0,0,13.570973553191946
